team,year,conference,is_national_champion,conference_champion,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent,win_percentage,yards_per_game,yards_allowed_per_game,yard_differential,turnover_margin,first_down_differential,third_down_conversion_rate,fourth_down_conversion_rate,rushing_yards_per_attempt,passing_yards_per_attempt,completion_percentage,offensive_efficiency,defensive_efficiency,win_strength,consistency_score,pythagorean_expectation,margin_of_victory,turnovers_per_game,turnover_margin_per_game,offensive_balance,defensive_pressure,conference_strength,conference_rank,conference_dominance,prev_year_win_pct,prev_year_yards_per_game,prev_year_yard_differential,win_pct_3yr,yards_per_game_3yr,win_pct_trend
Cincinnati,2019.0,AAC,0.0,None,291.0,277.0,11.0,5.0,17.0,19.0,9.0,10.0,18.0,13.0,14.0,3.0,0.0,300.0,154.0,11.0,16.0,0.0,1.0,590.0,1059.0,27.0,55.0,2552.0,3119.0,377.0,452.0,208.0,233.0,16.0,11.0,19.0,17.0,122.0,93.0,977.0,757.0,26673.0,23725.0,0.0,0.0,250.0,89.0,31.0,18.0,616.0,535.0,30.0,15.0,2937.0,1941.0,43.0,42.0,116.0,92.0,92.0,81.0,213.0,214.0,5489.0,5060.0,20.0,26.0,,392.07142857142856,361.42857142857144,429.0,6.0,14.0,0.431924882629108,0.6470588235294118,4.767857142857143,6.769230769230769,0.5517241379310345,392.07142857142856,361.42857142857144,,,0.5480685018316369,30.642857142857142,1.4285714285714286,0.42857142857142855,0.5350701402805611,159.0,,,,,457.0,2019.0,,424.5357142857143,
Cincinnati,2020.0,AAC,0.0,None,219.0,193.0,10.0,9.0,15.0,23.0,10.0,4.0,4.0,10.0,10.0,1.0,0.0,130.0,5.0,6.0,16.0,1.0,0.0,476.0,503.0,17.0,23.0,2386.0,2135.0,295.0,354.0,197.0,188.0,16.0,6.0,20.0,7.0,87.0,58.0,762.0,594.0,19205.0,16714.0,0.0,0.0,123.0,84.0,15.0,13.0,381.0,353.0,29.0,10.0,2126.0,1120.0,29.0,19.0,72.0,51.0,60.0,52.0,132.0,151.0,4512.0,3255.0,16.0,20.0,,451.2,325.5,1257.0,4.0,26.0,0.4545454545454545,0.6666666666666666,5.58005249343832,8.08813559322034,0.6677966101694915,451.2,325.5,,,0.684368112040963,125.7,1.6,0.4,0.47118794326241137,101.0,,,,,392.07142857142856,429.0,,433.4238095238095,
Cincinnati,2021.0,AAC,0.0,None,277.0,268.0,12.0,19.0,19.0,37.0,10.0,15.0,15.0,12.0,14.0,1.0,1.0,214.0,127.0,9.0,19.0,1.0,0.0,667.0,579.0,28.0,35.0,3377.0,2369.0,400.0,413.0,257.0,223.0,19.0,9.0,33.0,13.0,101.0,91.0,754.0,684.0,22810.0,27590.0,0.0,0.0,224.0,26.0,22.0,17.0,464.0,584.0,34.0,14.0,2406.0,2089.0,39.0,26.0,102.0,54.0,62.0,71.0,158.0,210.0,5783.0,4458.0,19.0,34.0,,413.07142857142856,318.42857142857144,1325.0,15.0,9.0,0.3924050632911392,0.631578947368421,5.185344827586207,8.4425,0.6425,413.07142857142856,318.42857142857144,,,0.6494737802498107,94.64285714285714,1.3571428571428572,1.0714285714285714,0.4160470344112053,141.0,,,,,451.2,1257.0,,418.7809523809524,
Cincinnati,2022.0,AAC,0.0,None,241.0,266.0,13.0,11.0,20.0,24.0,6.0,9.0,13.0,9.0,13.0,2.0,0.0,104.0,55.0,8.0,11.0,1.0,0.0,491.0,379.0,23.0,24.0,3155.0,2369.0,417.0,391.0,249.0,215.0,11.0,8.0,22.0,15.0,98.0,49.0,837.0,436.0,22030.0,24739.0,0.0,0.0,159.0,80.0,14.0,24.0,426.0,553.0,19.0,18.0,1686.0,1992.0,35.0,38.0,87.0,62.0,66.0,79.0,181.0,205.0,4841.0,4361.0,14.0,20.0,,372.38461538461536,335.46153846153845,480.0,6.0,-25.0,0.3646408839779005,0.65,3.957746478873239,7.565947242206235,0.5971223021582733,372.38461538461536,335.46153846153845,,,0.5615549680972488,36.92307692307692,1.0769230769230769,0.46153846153846156,0.3482751497624458,122.0,,,,,413.07142857142856,1325.0,,412.2186813186813,
Cincinnati,2023.0,B12,0.0,None,267.0,238.0,14.0,12.0,31.0,17.0,6.0,5.0,5.0,6.0,12.0,0.0,1.0,100.0,109.0,11.0,8.0,0.0,0.0,249.0,501.0,16.0,25.0,2508.0,2710.0,360.0,328.0,218.0,186.0,8.0,11.0,21.0,20.0,68.0,60.0,631.0,437.0,23017.0,20173.0,0.0,0.0,52.0,72.0,15.0,16.0,517.0,397.0,14.0,24.0,2605.0,2123.0,18.0,26.0,68.0,68.0,74.0,59.0,176.0,150.0,5113.0,4833.0,17.0,13.0,,426.0833333333333,402.75,280.0,-4.0,29.0,0.4204545454545454,0.4516129032258064,5.038684719535784,6.966666666666667,0.6055555555555555,426.0833333333333,402.75,,,0.533319508884473,23.333333333333332,1.4166666666666667,-0.3333333333333333,0.5094856248777626,86.0,,,,,372.38461538461536,480.0,,403.84645909645906,
Cincinnati,2024.0,B12,0.0,None,265.0,224.0,11.0,12.0,20.0,24.0,11.0,8.0,9.0,11.0,12.0,0.0,2.0,1.0,149.0,7.0,5.0,0.0,0.0,390.0,600.0,19.0,29.0,2838.0,2673.0,395.0,346.0,252.0,213.0,5.0,7.0,18.0,16.0,64.0,65.0,533.0,515.0,22833.0,20367.0,0.0,0.0,42.0,114.0,9.0,15.0,424.0,410.0,19.0,15.0,2220.0,1952.0,19.0,20.0,65.0,71.0,65.0,62.0,155.0,161.0,5058.0,4625.0,18.0,13.0,,421.5,385.4166666666667,433.0,-5.0,41.0,0.4193548387096774,0.55,5.235849056603773,7.184810126582279,0.6379746835443038,421.5,385.4166666666667,,,0.5528277547275902,36.083333333333336,1.5,-0.4166666666666667,0.4389086595492289,84.0,,,,,426.0833333333333,280.0,,406.6559829059829,
Clemson,2018.0,ACC,0.0,None,332.0,227.0,10.0,10.0,18.0,27.0,9.0,12.0,11.0,9.0,15.0,2.0,0.0,328.0,47.0,8.0,12.0,0.0,1.0,454.0,656.0,20.0,32.0,4185.0,2850.0,508.0,447.0,328.0,238.0,12.0,8.0,37.0,13.0,66.0,94.0,610.0,765.0,24158.0,26199.0,1.0,1.0,302.0,121.0,43.0,18.0,568.0,577.0,49.0,8.0,3722.0,1445.0,50.0,17.0,127.0,55.0,86.0,64.0,190.0,223.0,7907.0,4295.0,17.0,24.0,,527.1333333333333,286.3333333333333,3612.0,7.0,105.0,0.4526315789473684,0.5555555555555556,6.552816901408451,8.238188976377952,0.6456692913385826,527.1333333333333,286.3333333333333,,,0.809444331029836,240.8,1.1333333333333333,0.4666666666666667,0.47072214493486786,177.0,,,,,394.43589743589746,134.5,,527.1333333333333,
Clemson,2019.0,ACC,0.0,None,392.0,217.0,6.0,9.0,12.0,22.0,5.0,11.0,16.0,9.0,15.0,2.0,0.0,254.0,112.0,10.0,19.0,0.0,0.0,504.0,439.0,23.0,28.0,4325.0,2584.0,509.0,433.0,326.0,231.0,19.0,10.0,40.0,14.0,85.0,87.0,675.0,824.0,27242.0,26738.0,0.0,0.0,185.0,68.0,34.0,10.0,566.0,536.0,45.0,10.0,3606.0,1741.0,72.0,20.0,139.0,79.0,80.0,72.0,181.0,231.0,7931.0,4325.0,15.0,30.0,,528.7333333333333,288.3333333333333,3606.0,15.0,175.0,0.4419889502762431,0.5,6.371024734982332,8.497053045186641,0.6404715127701375,528.7333333333333,288.3333333333333,,,0.80800358074718,240.4,1.0,1.0,0.45467154205018284,211.0,,,,,527.1333333333333,3612.0,,527.9333333333334,
Clemson,2020.0,ACC,0.0,None,295.0,192.0,10.0,7.0,15.0,19.0,9.0,9.0,9.0,9.0,12.0,0.0,1.0,121.0,105.0,6.0,14.0,0.0,0.0,434.0,269.0,19.0,12.0,4182.0,2570.0,490.0,343.0,326.0,190.0,14.0,6.0,31.0,17.0,64.0,75.0,568.0,623.0,21885.0,20904.0,0.0,0.0,123.0,144.0,13.0,17.0,410.0,437.0,33.0,9.0,1848.0,1368.0,46.0,21.0,109.0,64.0,83.0,54.0,179.0,174.0,6030.0,3938.0,15.0,23.0,,502.5,328.1666666666667,2092.0,8.0,103.0,0.4636871508379888,0.6666666666666666,4.507317073170731,8.534693877551021,0.6653061224489796,502.5,328.1666666666667,,,0.7329801170240335,174.33333333333334,1.25,0.6666666666666666,0.30646766169154227,155.0,,,,,528.7333333333333,3606.0,,519.4555555555556,
Clemson,2021.0,ACC,0.0,None,258.0,223.0,9.0,10.0,16.0,24.0,8.0,8.0,9.0,10.0,13.0,1.0,2.0,69.0,137.0,11.0,12.0,0.0,1.0,522.0,431.0,21.0,19.0,2485.0,2715.0,414.0,455.0,228.0,260.0,12.0,11.0,12.0,11.0,79.0,113.0,657.0,889.0,22933.0,23867.0,0.0,0.0,92.0,82.0,20.0,20.0,488.0,439.0,26.0,7.0,2184.0,1256.0,41.0,21.0,90.0,66.0,69.0,71.0,186.0,207.0,4669.0,3971.0,19.0,20.0,,359.15384615384613,305.46153846153845,698.0,1.0,35.0,0.3709677419354839,0.5625,4.475409836065574,6.002415458937198,0.5507246376811594,359.15384615384613,305.46153846153845,,,0.5947813122211003,53.69230769230769,1.4615384615384615,0.07692307692307693,0.46776611694152925,131.0,,,,,502.5,2092.0,,463.4623931623932,
Clemson,2022.0,ACC,0.0,None,319.0,257.0,6.0,10.0,12.0,25.0,12.0,8.0,11.0,16.0,14.0,2.0,1.0,153.0,97.0,10.0,13.0,0.0,0.0,412.0,296.0,21.0,15.0,3247.0,3241.0,478.0,487.0,297.0,298.0,13.0,10.0,24.0,21.0,76.0,86.0,675.0,843.0,26214.0,24186.0,0.0,1.0,190.0,246.0,29.0,25.0,548.0,444.0,31.0,12.0,2497.0,1453.0,43.0,27.0,106.0,66.0,100.0,68.0,211.0,196.0,5744.0,4694.0,22.0,21.0,,410.2857142857143,335.2857142857143,1050.0,-1.0,62.0,0.4739336492890995,0.5,4.556569343065694,6.792887029288703,0.6213389121338913,410.2857142857143,335.2857142857143,,,0.6173779335882257,75.0,1.5714285714285714,-0.07142857142857142,0.4347144846796657,149.0,,,,,359.15384615384613,698.0,,423.9798534798535,
Clemson,2023.0,ACC,0.0,None,300.0,185.0,14.0,10.0,27.0,22.0,13.0,12.0,11.0,13.0,13.0,4.0,2.0,244.0,115.0,9.0,16.0,0.0,1.0,287.0,267.0,12.0,7.0,2969.0,2257.0,474.0,401.0,302.0,212.0,16.0,9.0,20.0,13.0,64.0,71.0,549.0,621.0,25818.0,20982.0,0.0,0.0,182.0,103.0,23.0,18.0,524.0,396.0,24.0,17.0,2266.0,1490.0,32.0,28.0,90.0,83.0,79.0,60.0,198.0,187.0,5235.0,3747.0,22.0,28.0,,402.6923076923077,288.2307692307692,1488.0,6.0,115.0,0.398989898989899,0.5185185185185185,4.324427480916031,6.263713080168777,0.6371308016877637,402.6923076923077,288.2307692307692,,,0.6883796406565563,114.46153846153847,1.6923076923076923,0.46153846153846156,0.43285577841451767,122.0,,,,,410.2857142857143,1050.0,,390.71062271062266,
Clemson,2024.0,ACC,0.0,None,335.0,286.0,13.0,8.0,22.0,19.0,3.0,10.0,10.0,3.0,14.0,2.0,0.0,137.0,52.0,7.0,16.0,0.0,0.0,320.0,298.0,17.0,15.0,3899.0,3004.0,529.0,468.0,331.0,264.0,16.0,7.0,37.0,22.0,69.0,86.0,667.0,771.0,25612.0,24769.0,0.0,0.0,170.0,88.0,19.0,20.0,470.0,475.0,23.0,18.0,2433.0,2245.0,35.0,25.0,89.0,73.0,87.0,70.0,198.0,195.0,6332.0,5249.0,10.0,26.0,,452.2857142857143,374.92857142857144,1083.0,16.0,49.0,0.4393939393939394,0.5909090909090909,5.176595744680851,7.370510396975425,0.6257088846880907,452.2857142857143,374.92857142857144,,,0.6093453319220644,77.35714285714286,0.7142857142857143,1.1428571428571428,0.38423878711307646,124.0,,,,,402.6923076923077,1488.0,,421.7545787545787,
Coastal Carolina,2018.0,SBC,0.0,None,245.0,259.0,11.0,8.0,16.0,17.0,11.0,8.0,8.0,11.0,12.0,1.0,0.0,57.0,103.0,7.0,4.0,0.0,1.0,565.0,942.0,31.0,42.0,2154.0,2477.0,264.0,290.0,163.0,178.0,4.0,7.0,19.0,20.0,53.0,88.0,504.0,832.0,23374.0,19559.0,0.0,0.0,49.0,116.0,9.0,13.0,513.0,450.0,20.0,32.0,2339.0,2943.0,18.0,36.0,60.0,80.0,61.0,61.0,146.0,133.0,4493.0,5420.0,18.0,12.0,,374.4166666666667,451.6666666666667,-927.0,-6.0,-14.0,0.4178082191780822,0.6875,4.559454191033138,8.159090909090908,0.6174242424242424,374.4166666666667,451.6666666666667,,,0.39065657178391255,-77.25,1.5,-0.5,0.5205875806810595,78.0,,,,,394.43589743589746,134.5,,374.4166666666667,
Coastal Carolina,2019.0,SBC,0.0,None,267.0,242.0,23.0,12.0,29.0,17.0,8.0,6.0,8.0,12.0,12.0,0.0,2.0,127.0,115.0,9.0,11.0,0.0,0.0,267.0,1008.0,20.0,45.0,2379.0,2687.0,334.0,327.0,217.0,228.0,11.0,9.0,21.0,25.0,67.0,80.0,586.0,685.0,24056.0,19144.0,1.0,0.0,183.0,90.0,14.0,14.0,520.0,434.0,24.0,23.0,2346.0,1924.0,27.0,20.0,92.0,80.0,70.0,68.0,172.0,146.0,4725.0,4611.0,17.0,17.0,,393.75,384.25,114.0,0.0,25.0,0.4069767441860465,0.7931034482758621,4.5115384615384615,7.122754491017964,0.6497005988023952,393.75,384.25,,,0.5144664748422346,9.5,1.4166666666666667,0.0,0.4965079365079365,119.0,,,,,374.4166666666667,-927.0,,384.08333333333337,
Coastal Carolina,2020.0,SBC,0.0,None,281.0,224.0,13.0,12.0,17.0,27.0,7.0,9.0,9.0,7.0,12.0,1.0,0.0,227.0,84.0,5.0,16.0,0.0,0.0,299.0,849.0,19.0,45.0,2778.0,2447.0,286.0,364.0,191.0,221.0,16.0,5.0,29.0,11.0,44.0,57.0,428.0,455.0,23907.0,18795.0,0.0,1.0,76.0,53.0,10.0,7.0,518.0,405.0,30.0,17.0,2622.0,1776.0,32.0,14.0,77.0,52.0,79.0,57.0,149.0,150.0,5400.0,4223.0,12.0,25.0,,450.0,351.9166666666667,1177.0,13.0,57.0,0.5302013422818792,0.7647058823529411,5.061776061776062,9.713286713286712,0.6678321678321678,450.0,351.9166666666667,,,0.6416820085909464,98.08333333333333,1.0,1.0833333333333333,0.4855555555555556,109.0,,,,,393.75,114.0,,406.0555555555556,
Coastal Carolina,2021.0,SBC,0.0,None,309.0,230.0,10.0,14.0,13.0,30.0,6.0,7.0,8.0,6.0,13.0,0.0,0.0,27.0,59.0,4.0,6.0,0.0,0.0,542.0,1037.0,28.0,57.0,3457.0,2474.0,322.0,358.0,227.0,208.0,6.0,4.0,33.0,15.0,70.0,51.0,666.0,388.0,24394.0,22406.0,3.0,0.0,241.0,0.0,25.0,4.0,509.0,477.0,36.0,21.0,2974.0,1942.0,32.0,21.0,82.0,63.0,77.0,61.0,143.0,171.0,6431.0,4416.0,10.0,13.0,,494.6923076923077,339.6923076923077,2015.0,3.0,79.0,0.5384615384615384,0.7692307692307693,5.842829076620825,10.736024844720497,0.7049689440993789,494.6923076923077,339.6923076923077,,,0.7090702755252776,155.0,0.7692307692307693,0.23076923076923078,0.4624475198258436,114.0,,,,,450.0,1177.0,,446.14743589743586,
Coastal Carolina,2022.0,SBC,0.0,None,283.0,269.0,12.0,12.0,21.0,24.0,13.0,13.0,19.0,15.0,13.0,0.0,1.0,101.0,157.0,6.0,9.0,1.0,0.0,590.0,729.0,31.0,33.0,3200.0,3695.0,361.0,402.0,237.0,256.0,9.0,6.0,27.0,28.0,81.0,86.0,739.0,785.0,25265.0,21484.0,0.0,0.0,79.0,104.0,11.0,13.0,513.0,439.0,22.0,22.0,2067.0,1740.0,34.0,27.0,79.0,73.0,74.0,67.0,173.0,163.0,5267.0,5435.0,19.0,22.0,,405.15384615384613,418.0769230769231,-168.0,3.0,14.0,0.4277456647398844,0.5714285714285714,4.029239766081871,8.86426592797784,0.6565096952908587,405.15384615384613,418.0769230769231,,,0.48140492142818525,-12.923076923076923,1.4615384615384615,0.23076923076923078,0.3924435162331498,113.0,,,,,494.6923076923077,2015.0,,449.94871794871796,
Coastal Carolina,2023.0,SBC,0.0,None,275.0,264.0,9.0,12.0,24.0,24.0,8.0,10.0,9.0,8.0,13.0,2.0,1.0,283.0,30.0,9.0,14.0,0.0,0.0,482.0,300.0,31.0,16.0,3401.0,2753.0,410.0,391.0,273.0,223.0,14.0,9.0,24.0,21.0,73.0,106.0,749.0,951.0,24831.0,21969.0,0.0,1.0,69.0,118.0,14.0,10.0,465.0,462.0,17.0,15.0,2010.0,2181.0,20.0,17.0,59.0,73.0,76.0,70.0,172.0,168.0,5411.0,4934.0,17.0,24.0,,416.2307692307692,379.53846153846155,477.0,7.0,11.0,0.4418604651162791,0.375,4.32258064516129,8.295121951219512,0.6658536585365854,416.2307692307692,379.53846153846155,,,0.5544612862618606,36.69230769230769,1.3076923076923077,0.5384615384615384,0.3714655331731658,79.0,,,,,405.15384615384613,-168.0,,438.6923076923076,
Coastal Carolina,2024.0,SBC,0.0,None,235.0,273.0,8.0,15.0,22.0,27.0,6.0,11.0,11.0,6.0,13.0,2.0,1.0,167.0,107.0,11.0,11.0,0.0,1.0,414.0,633.0,24.0,25.0,2626.0,2961.0,358.0,389.0,195.0,238.0,11.0,11.0,20.0,24.0,90.0,82.0,829.0,681.0,22479.0,24321.0,0.0,0.0,128.0,68.0,10.0,14.0,481.0,510.0,21.0,22.0,2246.0,2422.0,28.0,14.0,59.0,54.0,65.0,81.0,171.0,186.0,4872.0,5383.0,17.0,22.0,,374.7692307692308,414.0769230769231,-511.0,5.0,-38.0,0.3801169590643274,0.3636363636363636,4.669438669438669,7.335195530726257,0.5446927374301676,374.7692307692308,414.0769230769231,,,0.4411769329313678,-39.30769230769231,1.3076923076923077,0.38461538461538464,0.4610016420361248,87.0,,,,,416.2307692307692,477.0,,398.71794871794873,
Colorado,2018.0,P12,0.0,None,247.0,243.0,9.0,11.0,23.0,22.0,7.0,6.0,8.0,7.0,12.0,1.0,4.0,98.0,181.0,12.0,8.0,0.0,0.0,499.0,459.0,24.0,25.0,2994.0,2749.0,419.0,403.0,270.0,228.0,8.0,12.0,19.0,23.0,70.0,87.0,658.0,790.0,22232.0,21561.0,0.0,0.0,260.0,89.0,33.0,20.0,453.0,468.0,21.0,12.0,1718.0,1758.0,29.0,31.0,80.0,98.0,66.0,68.0,183.0,187.0,4712.0,4507.0,19.0,14.0,,392.6666666666667,375.5833333333333,205.0,-5.0,4.0,0.360655737704918,0.391304347826087,3.792494481236203,7.145584725536993,0.6443914081145584,392.6666666666667,375.5833333333333,,,0.5263304361659187,17.083333333333332,1.5833333333333333,-0.4166666666666667,0.3646010186757216,109.0,,,,,394.43589743589746,134.5,,392.6666666666667,
Colorado,2019.0,P12,0.0,None,257.0,261.0,12.0,7.0,20.0,13.0,3.0,6.0,10.0,4.0,12.0,0.0,0.0,40.0,122.0,11.0,11.0,0.0,0.0,480.0,305.0,25.0,20.0,2858.0,3460.0,411.0,406.0,257.0,267.0,11.0,11.0,18.0,28.0,85.0,73.0,726.0,730.0,22027.0,21173.0,0.0,1.0,57.0,200.0,10.0,15.0,436.0,409.0,14.0,21.0,1804.0,1843.0,24.0,28.0,71.0,84.0,74.0,74.0,179.0,156.0,4662.0,5303.0,14.0,17.0,,388.5,441.9166666666667,-641.0,3.0,-4.0,0.4134078212290503,0.6,4.137614678899083,6.953771289537713,0.6253041362530414,388.5,441.9166666666667,,,0.4242568152188169,-53.416666666666664,1.1666666666666667,0.25,0.38695838695838697,95.0,,,,,392.6666666666667,205.0,,390.58333333333337,
Colorado,2020.0,P12,0.0,None,120.0,128.0,3.0,1.0,7.0,10.0,4.0,3.0,3.0,4.0,6.0,0.0,1.0,23.0,83.0,7.0,4.0,0.0,0.0,274.0,365.0,14.0,16.0,1209.0,1441.0,178.0,215.0,98.0,119.0,4.0,7.0,6.0,12.0,34.0,39.0,338.0,328.0,11362.0,10226.0,1.0,0.0,158.0,103.0,11.0,12.0,276.0,200.0,15.0,9.0,1274.0,1087.0,15.0,6.0,49.0,36.0,41.0,27.0,96.0,85.0,2483.0,2528.0,11.0,7.0,,413.8333333333333,421.3333333333333,-45.0,-4.0,-8.0,0.4270833333333333,0.4285714285714285,4.615942028985507,6.792134831460674,0.550561797752809,413.8333333333333,421.3333333333333,,,0.4893597320428129,-7.5,1.8333333333333333,-0.6666666666666666,0.5130890052356021,64.0,,,,,388.5,-641.0,,398.3333333333333,
Colorado,2021.0,P12,0.0,None,173.0,267.0,6.0,8.0,18.0,17.0,4.0,4.0,6.0,4.0,12.0,1.0,0.0,143.0,2.0,3.0,9.0,1.0,0.0,603.0,378.0,21.0,17.0,1575.0,2908.0,269.0,403.0,154.0,247.0,9.0,3.0,10.0,17.0,76.0,83.0,677.0,787.0,19582.0,23618.0,1.0,1.0,273.0,407.0,20.0,39.0,438.0,431.0,12.0,22.0,1514.0,2143.0,13.0,32.0,60.0,79.0,51.0,72.0,158.0,167.0,3089.0,5051.0,7.0,13.0,,257.4166666666667,420.9166666666667,-1962.0,6.0,-94.0,0.3227848101265823,0.3333333333333333,3.4566210045662102,5.855018587360595,0.5724907063197026,257.4166666666667,420.9166666666667,,,0.2376836523848293,-163.5,0.5833333333333334,0.5,0.4901262544512787,73.0,,,,,413.8333333333333,-45.0,,353.25,
Colorado,2022.0,P12,0.0,None,190.0,308.0,11.0,11.0,30.0,23.0,12.0,5.0,7.0,18.0,12.0,0.0,1.0,57.0,145.0,10.0,6.0,0.0,0.0,750.0,255.0,35.0,10.0,2075.0,3176.0,360.0,365.0,179.0,245.0,6.0,10.0,10.0,31.0,64.0,72.0,579.0,642.0,19718.0,23482.0,1.0,1.0,177.0,287.0,11.0,34.0,387.0,485.0,11.0,39.0,1300.0,2941.0,10.0,23.0,49.0,66.0,52.0,76.0,164.0,143.0,3375.0,6117.0,22.0,11.0,,281.25,509.75,-2742.0,-11.0,-118.0,0.3170731707317073,0.3666666666666666,3.359173126614987,5.763888888888889,0.4972222222222222,281.25,509.75,,,0.1963313600560759,-228.5,1.8333333333333333,-0.9166666666666666,0.3851851851851852,59.0,,,,,257.4166666666667,-1962.0,,317.5,
Colorado,2023.0,P12,0.0,None,254.0,290.0,10.0,10.0,15.0,16.0,7.0,10.0,11.0,7.0,12.0,1.0,0.0,74.0,33.0,4.0,10.0,0.0,1.0,319.0,613.0,17.0,27.0,3536.0,3323.0,474.0,417.0,323.0,269.0,10.0,4.0,29.0,28.0,107.0,93.0,854.0,883.0,19854.0,23346.0,0.0,0.0,176.0,136.0,18.0,18.0,358.0,451.0,12.0,24.0,827.0,2095.0,28.0,56.0,66.0,86.0,68.0,77.0,177.0,167.0,4363.0,5418.0,11.0,20.0,,363.5833333333333,451.5,-1055.0,9.0,-36.0,0.384180790960452,0.6666666666666666,2.310055865921788,7.459915611814346,0.6814345991561181,363.5833333333333,451.5,,,0.37442881271365447,-87.91666666666667,0.9166666666666666,0.75,0.18954847581939033,94.0,,,,,281.25,-2742.0,,300.75,
Colorado,2024.0,B12,0.0,None,265.0,263.0,8.0,16.0,21.0,28.0,4.0,11.0,11.0,5.0,13.0,1.0,1.0,268.0,48.0,10.0,15.0,0.0,1.0,386.0,1178.0,21.0,54.0,4134.0,2607.0,481.0,393.0,353.0,229.0,15.0,10.0,37.0,16.0,100.0,99.0,882.0,870.0,21763.0,25037.0,1.0,1.0,197.0,365.0,17.0,24.0,333.0,504.0,15.0,17.0,860.0,1973.0,39.0,43.0,93.0,83.0,65.0,75.0,159.0,189.0,4994.0,4580.0,14.0,26.0,,384.15384615384613,352.3076923076923,414.0,12.0,2.0,0.4088050314465409,0.3809523809523809,2.5825825825825826,8.594594594594595,0.7338877338877339,384.15384615384613,352.3076923076923,,,0.5510948998378029,31.846153846153847,1.0769230769230769,0.9230769230769231,0.1722066479775731,132.0,,,,,363.5833333333333,-1055.0,,342.9957264957265,
Colorado State,2018.0,MWC,0.0,None,274.0,265.0,9.0,8.0,17.0,15.0,6.0,5.0,4.0,5.0,12.0,1.0,2.0,59.0,212.0,16.0,7.0,0.0,1.0,799.0,435.0,39.0,20.0,3659.0,2778.0,502.0,304.0,303.0,192.0,7.0,16.0,26.0,30.0,94.0,75.0,823.0,659.0,21970.0,21511.0,0.0,3.0,55.0,561.0,15.0,32.0,392.0,494.0,8.0,20.0,1267.0,2636.0,16.0,25.0,61.0,61.0,81.0,56.0,189.0,145.0,4926.0,5414.0,22.0,12.0,,410.5,451.1666666666667,-488.0,-10.0,9.0,0.4285714285714285,0.5294117647058824,3.232142857142857,7.288844621513944,0.603585657370518,410.5,451.1666666666667,,,0.4442645106198108,-40.666666666666664,1.8333333333333333,-0.8333333333333334,0.257206658546488,77.0,,,,,394.43589743589746,134.5,,410.5,
Colorado State,2019.0,MWC,0.0,None,257.0,238.0,11.0,15.0,21.0,22.0,13.0,7.0,13.0,25.0,12.0,1.0,1.0,105.0,119.0,11.0,6.0,1.0,1.0,591.0,498.0,34.0,23.0,3660.0,2179.0,445.0,316.0,279.0,183.0,6.0,11.0,21.0,19.0,80.0,76.0,782.0,650.0,21712.0,21488.0,0.0,0.0,142.0,93.0,21.0,17.0,395.0,495.0,18.0,23.0,1586.0,2350.0,34.0,32.0,97.0,92.0,67.0,60.0,169.0,168.0,5246.0,4529.0,24.0,13.0,,437.1666666666667,377.4166666666667,717.0,-11.0,19.0,0.3964497041420118,0.5238095238095238,4.015189873417722,8.224719101123595,0.6269662921348315,437.1666666666667,377.4166666666667,,,0.5862068200735819,59.75,2.0,-0.9166666666666666,0.3023255813953488,131.0,,,,,410.5,-488.0,,423.83333333333337,
Colorado State,2020.0,MWC,0.0,None,68.0,79.0,3.0,6.0,8.0,10.0,1.0,4.0,4.0,1.0,4.0,1.0,0.0,30.0,36.0,3.0,1.0,0.0,1.0,427.0,326.0,20.0,13.0,779.0,989.0,118.0,122.0,59.0,75.0,1.0,3.0,4.0,5.0,24.0,22.0,199.0,202.0,5895.0,9398.0,0.0,2.0,59.0,245.0,8.0,16.0,155.0,180.0,6.0,8.0,496.0,430.0,16.0,11.0,42.0,36.0,12.0,27.0,60.0,68.0,1275.0,1419.0,4.0,5.0,,318.75,354.75,-144.0,1.0,-11.0,0.2,0.375,3.2,6.601694915254237,0.5,318.75,354.75,,,0.43693644942360305,-36.0,1.0,0.25,0.38901960784313727,58.0,,,,,437.1666666666667,717.0,,388.8055555555556,
